product_name,brand,category,price,promo_price,volume_ml,rating,review_count,shade_count,finish_type,coverage_level,skin_type,availability,source_url
HD Skin Foundation,MAKE UP FOR EVER,fond de teint,42.0,,30,4.6,524,40,lumineux,moyenne a haute,grasse / sèche / mixte,en stock,https://www.makeupforever.com/fr/fr/teint/fonds-de-teint/hd-skin-foundation
Reboot Active Care Revitalizing Foundation,MAKE UP FOR EVER,fond de teint,48.0,33.6,30,4.4,312,35,naturel,modulable,tous types,en stock,https://www.makeupforever.com/fr/fr/teint/fonds-de-teint/reboot-active-care-revitalizing-foundation
Aqua XL-Pro Longwear Matte Foundation,MAKE UP FOR EVER,fond de teint,39.0,,30,4.5,418,40,mat,totale,grasse / mixte,en stock,https://www.makeupforever.com/fr/fr/teint/fonds-de-teint/aqua-xl-pro-longwear-matte-foundation
Watertone Skin-Improving Water Cream Foundation,MAKE UP FOR EVER,fond de teint,44.0,,30,4.3,276,30,naturel,legere,sèche / sensible,en stock,https://www.makeupforever.com/fr/fr/teint/fonds-de-teint/watertone-skin-improving-water-cream-foundation
Ultra HD Invisible Cover Foundation,MAKE UP FOR EVER,fond de teint,45.0,,30,4.7,693,45,lumineux,totale,sèche / sensible,en stock,https://www.makeupforever.com/fr/fr/teint/fonds-de-teint/ultra-hd-invisible-cover-foundation
Matte Velvet Skin Blurring Powder Foundation,MAKE UP FOR EVER,fond de teint,36.0,,11,4.2,198,35,mat,totale,grasse,en stock,https://www.makeupforever.com/fr/fr/teint/fonds-de-teint/matte-velvet-skin-blurring-powder-foundation
HD Skin Mist & Set Setting Spray,MAKE UP FOR EVER,fond de teint,34.0,,100,4.6,342,1,,,,en stock,https://www.makeupforever.com/fr/fr/teint/fonds-de-teint/hd-skin-mist-set-setting-spray
Full Cover Waterproof Concealer,MAKE UP FOR EVER,correcteur,35.0,,15,4.8,567,40,mat,totale,,en stock,https://www.makeupforever.com/fr/fr/teint/correcteurs-anti-cernes/full-cover-waterproof-concealer
Underpainting Color Correcting Pen,MAKE UP FOR EVER,correcteur,29.0,,3,4.4,289,4,mat,modulable,,en stock,https://www.makeupforever.com/fr/fr/teint/correcteurs-anti-cernes/underpainting-color-correcting-pen
Artist Cover Longwear Full Coverage Concealer,MAKE UP FOR EVER,correcteur,32.0,,10,4.5,421,45,mat,totale,tous types,en stock,https://www.makeupforever.com/fr/fr/teint/correcteurs-anti-cernes/artist-cover-longwear-full-coverage-concealer
Sens'Eyes Eye Contour Concealer,MAKE UP FOR EVER,correcteur,38.0,,7.5,4.3,198,20,lumineux,totale,sensible / sèche,en stock,https://www.makeupforever.com/fr/fr/teint/correcteurs-anti-cernes/sens-eyes-eye-contour-concealer
