product_name,brand,category,price,promo_price,volume_ml,rating,review_count,shade_count,finish_type,coverage_level,skin_type,availability,source_url
Infaillible 24H Fresh Wear Foundation,L'Oréal Paris,fond de teint,16.99,,30,4.4,1284,35,mat,totale,grasse / mixte,En stock,https://www.sephora.fr/p/infaillible-24h-fresh-wear-foundation-P10030467.html
Infaillible 32H Matte Cover Foundation,L'Oréal Paris,fond de teint,16.99,,30,4.3,876,30,mat,totale,grasse,En stock,https://www.sephora.fr/p/infaillible-32h-matte-cover-foundation-P10064782.html
True Match Super-Blendable Foundation,L'Oréal Paris,fond de teint,14.99,,30,4.5,2103,40,naturel,modulable,tous types,En stock,https://www.sephora.fr/p/true-match-super-blendable-foundation-P10012884.html
Accord Parfait Foundation,L'Oréal Paris,fond de teint,14.99,11.99,30,4.2,1567,33,naturel,moyenne,tous types,En stock,https://www.sephora.fr/p/accord-parfait-foundation-P10009821.html
Infaillible More Than Foundation,L'Oréal Paris,fond de teint,17.99,,30,4.4,943,28,satiné,totale,mixte / sèche,En stock,https://www.sephora.fr/p/infaillible-more-than-foundation-P10047832.html
Age Perfect Radiant Foundation SPF 15,L'Oréal Paris,fond de teint,17.99,,30,4.3,612,18,lumineux,légère,sèche / sensible,En stock,https://www.sephora.fr/p/age-perfect-radiant-foundation-spf15-P10021347.html
True Match Nude Hyaluronic Tinted Serum,L'Oréal Paris,fond de teint,16.99,,30,4.6,1891,12,naturel,légère,tous types,En stock,https://www.sephora.fr/p/true-match-nude-hyaluronic-tinted-serum-P10068901.html
Infaillible 24H Fresh Wear Foundation en Poudre,L'Oréal Paris,fond de teint,18.99,,9,4.1,534,20,mat,moyenne,grasse / mixte,En stock,https://www.sephora.fr/p/infaillible-24h-fresh-wear-foundation-poudre-P10051234.html
Infaillible More Than Concealer,L'Oréal Paris,correcteur,13.99,,11,4.5,1423,25,mat,totale,tous types,En stock,https://www.sephora.fr/p/infaillible-more-than-concealer-P10049023.html
True Match Concealer,L'Oréal Paris,correcteur,11.99,,6.8,4.3,987,18,naturel,modulable,tous types,En stock,https://www.sephora.fr/p/true-match-concealer-P10007654.html
Age Perfect Radiant Concealer,L'Oréal Paris,correcteur,13.99,,10,4.4,743,10,lumineux,moyenne,sèche / sensible,En stock,https://www.sephora.fr/p/age-perfect-radiant-concealer-P10022876.html
