product_name;brand;category;price;promo_price;volume_ml;rating;review_count;shade_count;shades;finish_type;coverage_level;skin_type;availability;Prix au ml;source_url
Eaze Drop Blur + Smooth Tint Stick;Fenty Beauty;Foundations & Concealers;38;null;9;null;null;20;#2 #3 #4 #5 #6 #7 #8 #9 #10 #11 #12 #13 #15 #17 #18 #19 #20 #21 #24 #25;naturel;léger;mixte;en stock;4,222222222;https://fentybeauty.com/en-fr/products/eaze-drop-skin-tint-foundation-stick-2
Eaze Drop Lightweight Blurring Skin Tint;Fenty Beauty;Foundations & Concealers;38;null;32;null;null;20;#2 #3 #4 #5 #6 #7 #8 #9 #10 #11 #12 #13 #15 #17 #18 #19 #20 #21 #24 #25;naturel;léger;mixte;en stock;1,1875;https://fentybeauty.com/en-fr/products/eaze-drop-lightweight-blurring-skin-tint-2
Pro Filt'r Soft Matte Longwear Foundation;Fenty Beauty;Foundations & Concealers;39,9;null;32;null;null;45;#120 #125 #130 #140 #150 #170 #175 #185 #190 #200 #210 #220 #225 #230 #235 #240 #250 #260 #265 #280 #290 #295 #300 #310 #315 #330 #335 #345 #350 #360 #370 #385 #390 #400 #410 #420 #425 #430 #440 #445 #450 #480 #490 #495 #498;mat;couvrant;grasse;en stock;1,246875;https://fentybeauty.com/en-fr/products/pro-filtr-soft-matte-longwear-foundation-420
Pro Filt'r Soft Matte Powder Foundation;Fenty Beauty;Foundations & Concealers;23;45;9;null;null;7;#110 #180 #250 #255 #470 #480 #490;mat;léger;grasse;rupture;2,555555556;https://fentybeauty.com/en-fr/products/pro-filtr-soft-matte-powder-foundation-180
Soft'lit Naturally Luminous Longwear Foundation;Fenty Beauty;Foundations & Concealers;39,9;null;32;null;null;33;#120 #125 #140 #150 #170 #175 #185 #190 #200 #210 #220 #225 #230 #235 #240 #250 #260 #265 #280 #290 #295 #300 #310 #315 #330 #335 #345 #350 #360 #370 #385 #420 #498;lumineux;moyen;sèche;en stock;1,246875;https://fentybeauty.com/en-fr/products/softlit-naturally-luminous-longwear-foundation-420
Hydra Vizor Huez SPF 30 Refillable Tinted Moisturizer Set;Fenty Skin;Foundations & Concealers;42;null;32;null;null;1;;naturel;léger;mixte;en stock;1,3125;https://fentybeauty.com/en-fr/products/hydra-vizor-huez-spf-30-refillable-tinted-moisturizer-set
Hydra Vizor Huez Tinted Moisturizer Broad Spectrum Mineral SPF 30 Sunscreen Refill;Fenty Skin;Foundations & Concealers;37;null;32;null;null;3;#4 #6 #10;naturel;léger;mixte;en stock;1,15625;https://fentybeauty.com/en-fr/products/hydra-vizor-huez-tinted-moisturizer-broad-spectrum-mineral-spf-30-sunscreen-refill-6
Accord Parfait Foundation;L'Oréal Paris;fond de teint;14,99;11,99;30;4,2;1567;33;;naturel;moyenne;tous types;En stock;0,499666667;https://www.sephora.fr/p/accord-parfait-foundation-P10009821.html
Age Perfect Radiant Concealer;L'Oréal Paris;correcteur;13,99;null;10;4,4;743;10;;lumineux;moyenne;sèche / sensible;En stock;1,399;https://www.sephora.fr/p/age-perfect-radiant-concealer-P10022876.html
Age Perfect Radiant Foundation SPF 15;L'Oréal Paris;fond de teint;17,99;null;30;4,3;612;18;;lumineux;légère;sèche / sensible;En stock;0,599666667;https://www.sephora.fr/p/age-perfect-radiant-foundation-spf15-P10021347.html
